Category,Shop SKU,Product name,EAN 13,Article description,Brand,Main image
category,shop_sku,articleShortTitle,barcode,articleLongDescription,brandKey,ProductImage-1
Pet products/Arachnid/Accessories,GHUIWERHG-25,"LEBENLANG Nettoyant vapeur électriques a main - 3,5 Bar & 1000W I 12x accessoires I Steam Cleaner multifonctions I Nettoyeur vaporisateur Nettoyeurs vaporetto Appareil à nettoyage Laveur machine",0740625483351,"À propos de cet article
💦 GANTS DE PROTECTION CHAUD & PERFORMANCE : Nettoyant vapeur manuel prêt à l'emploi en 3 à 5 minutes grâce à une puissance de 1000W - Nettoyeur vapeur haute pression manuel avec 3,5 bars super efficace contre tout type de saleté, par ex. nettoyer vitre vapeur pour douche & salle de bain, mur et plafond
💨 ANTI-VIRUS & BACTÉRIES : Avec le nettoyage vapeur sèche, nettoyez naturellement en profondeur avec de l'eau sans produits chimiques - Grâce à la vapeur à 130°C, tous les virus et bactéries sont détruits en toute sécurité - Nettoyeur vapeur pour joints idéal pour la maison
💨 12x ACCESSOIRES : Nettoyeur vapeur joint carrelage à air chaud entièrement équipé - Incl. gant de protection contre la chaleur, brosse en acier, brosse en nylon, raclette à vitres, chiffon microfibre, suceur d'angle, suceur à jet ponctuel, embout pour meubles rembourrés, entonnoir, gobelet gradué portable
💨 FLEXIBLE D'UTILISATION : Appareil a vapeur pour nettoyer polyvalent, par ex. pour les textiles : canapé, matelas, siège de voiture, petit tapis | Canard à vapeur contre l'entartrage, par ex. nettoyeur à vapeur pour salle de bain, cuisine, appareil de nettoyage de carrelage |Salissures tenaces : nettoyeur à vapeur pour le nettoyage des vitres , jantes, vélo, sol, nettoyeur à vapeur joints & canapé / meubles rembourrés
💦 CAPACITÉ 300ml : Nettoyeur vapeur seche chaude mais sans bras fatigués - le portatif réservoir de 300ml est facile à remplir et à transporter, mais peut être posé pendant l'utilisation - Handheld steamer cleaner avec jusqu'à 15 minutes en fonctionnement continu",001 INTERNATIONAL,https://m.media-amazon.com/images/I/81-TBtEHSqL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-26,LEBENLANG Mousseur à lait électrique en verre - 100% sans BPA comprend fouet de rechange & 4 modes mousseur lait I Mixeur lait mousse Machine I pour faire de la mousse de lait milk frother,0740625483368,"À propos de cet article
☕ VUE CLAIRE - Le nouveau rêve de mousseur a lait electrique de LEBENLANG dans un design en verre de haute qualité est particulièrement chic et se nettoie facilement grâce à la surface hygiénique du verre et les bactéries n'adhèrent pas si facilement
☕ 4 MODI - Deux possibilités pour réchauffer avec de la mousse, faire mousser du lait froid ou réchauffer sans aucune mousse - Répond à tous les souhaits de boissons d'un mousseur de lait
☕ AVEC un mousseur de rechange - Chaque mousser le lait est livré avec un fouet à mousse supplémentaire gratuit - Ainsi, vous n'avez pas à vous soucier d'un remplacement si vous perdez ou endommagez le premier fouet à mousse du Milk Twister
☕ SUPER RAPIDE - Seulement 1 à 2 minutes pour obtenir le résultat souhaité ! Si vous avez besoin de plus de tasses, un deuxième cycle peut être immédiatement lancé | Notre vainqueur absolu des tests de l'équipe Lebenlang!
☕ RÉSULTAT SANS DIMENSION - Lait traditionnel ou végétalien, chaud ou froid, café ou cacao - notre machine a lait est conçu pour fournir toujours le meilleur résultat",001 INTERNATIONAL,https://m.media-amazon.com/images/I/71qB9aFKwjL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-27,LEBENLANG Moulin électrique sel et poivre rechargeable - Batterie - Poivrière et moulin pour gros sel,0740625483375,"À propos de cet article
✅ ÉCONOMISEZ DE L'ARGENT SANS CHANGEMENT DE PILES FASTIDIEUX : Ensemble de salières et poivrières électriques au design en acier inoxydable avec une batterie lithium-ion puissante | Branchez simplement le câble USB-C à la station et le moulin à poivre électrique se chargera automatiquement
🧂 MÉCANISME DE BROYAGE EN CÉRAMIQUE PRÉCIS : Réglage exact du moulin à poivre électrique pour éviter les gros grains de sel et de poivre gênants sur la nourriture | Moulin à épices électrique avec une lumière LED pour le dosage le plus précis
🧑‍🍳 UTILISATION & NETTOYAGE INTUITIFS : Le set de moulins à sel et poivre électriques broie puissamment d'une simple pression sur un bouton | La surface en acier inoxydable assure une prise en main sûre | Le pinceau de nettoyage et la cuillère fournis facilitent le nettoyage et le remplissage
📦 ENSEMBLE COMPLET : Moulin à poivre et sel électrique LEBENLANG inclus avec station de base détachable pour un nettoyage facile, câble USB-C et pinceau de nettoyage + cuillère de remplissage, pour que vous puissiez commencer immédiatement à utiliser votre ensemble de moulins à sel et poivre
🎁 IDÉES CADEAUX PARFAITES : Grâce à un emballage et une apparence de haute qualité, idéal comme cadeau de Noël et du Nouvel An - Que ce soit pour un chef ou un amateur d'épices, notre moulin à poivre et sel électrique est un accessoire de cuisine parfait pour 2024",001 INTERNATIONAL,https://m.media-amazon.com/images/I/71-3oD2r9oL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-28,"LEBENLANG Bouilloire electriqueen acier inoxydable Réglage de la température - 1,7 litre & 2200W Silencieux indicateur de température & fonction maintien au chaud | Rétro sans plastique",0740625483382,"À propos de cet article
💧 RÉGLAGE DE LA TEMPÉRATURE: le bouton rotatif permet de sélectionner facilement la température entre 40° et 100°.
💧 FONCTION MAINTIEN AU CHAUD: maintenez la température choisie pour les 2 heures suivantes.
💧 BOITIER EN ACIER INOXYDABLE: L'ensemble de la bouilloire est fabriqué en acier inoxydable durable et de haute qualité.
💧 PLUS DE FONCTIONNEMENTS: Testée GS, écran LCD, 2200 watts, capacité de 1700 ml, filtre anticalcaire, base 360°, poignée antidérapante, indicateur de niveau de remplissage.
🍼 ALIMENTATION DE BÉBÉ: sans BPA et à 40°, idéal pour la préparation du lait de bébé - plus besoin de mélanger ou de trouver la bonne température.",001 INTERNATIONAL,https://m.media-amazon.com/images/I/617E-N1YgpL._AC_SY879_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-29,LEBENLANG Premium 1200W Mixeur plongeant acier inoxydable - Avec gobelet gradué 1000ml & protection anti-éclaboussures I Réglable en continu & Turbo I Mixer plongeur blender Mixeurs soupe Hand blender,0740625483399,"À propos de cet article
✅ LEBENLANG PREMIUM LINE & SUPPORT : Une mixeurs plongeants optimisée & une qualité premium caractérisent les produits exclusifs de cette ligne I Emballage cadeau noble inclus I En outre, support premium garanti par notre service client allemand pour toutes les questions & demandes
✅ DESIGN ÉLECTRIQUE & ENTRAÎNEMENT PUISSANT : Le mixer cuisine plongeant professionnel 1200w de LEBENLANG assure des résultats de mixeur ultrafins grâce à la technologie améliorée Two-Blade Technology, aux lames en acier inoxydable particulièrement tranchantes & à la tige de mixage amovible en acier inoxydable I Vainqueur absolu du test bras miceur electriquer en acier inoxydable de l'équipe LEBENLANG
✅ POLYVALENT AVEC BOUTEIL DE MESURE 1000ML : Choisir la recette, prendre le immersion blender et le bol de mesure/mélange et réduire en purée I Aucun pied mixeur plongeant n'est nécessaire I Préparer des soupes, des sauces, des smoothies, des aliments pour bébés ou des confitures a rarement été aussi simple
✅ INNOVATION ERGO SLIDE & MODE TURBO : Mixeur a main presse puree magique s'adapte idéalement à vos besoins grâce à la vitesse réglable en continu (6 modes) avec la technique innovante Ergo Slide I Grâce à la deuxième touche Turbo, le presse-purée réussit même les tâches les plus difficiles comme les noix, la viande ou les fruits congelés
✅ FACILE À NETTOYER : Utilisation flexible grâce au câble de 1,2 mètre de long du mixer robot plongeur professionnel legumes I Le mixeur presse-purée électrique en acier inoxydable avec hachoir électrique peut être lavé au lave-vaisselle",001 INTERNATIONAL,https://m.media-amazon.com/images/I/71WzCEdCgHL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-30,"LEBENLANG Premium Rasoir Anti bouloche Rechargeable 4000mAh - 5 Modes & 3,5h d'autonomie I INCL. Lampe de Poche & Ecran LED I Anti-bouloche Vetement Enlever Peluche Vetement Anti-Bouloches Appareil",0740625483405,"À propos de cet article
✅ LEBENLANG PREMIUM LINE & SUPPORT : Rasoir anti bouloche optimisée & une qualité premium caractérisent les produits exclusifs de cette ligne I Emballage cadeau noble inclus I En outre, support premium garanti par notre service client allemand pour toutes les questions & demandes
✅ AFFICHAGE LED & LAMPE DE POCHE : Le eliminateur de peluche électrique LEBENLANG à 5 modes affiche non seulement le nombre de tours/min, l'état de la batterie et les modes, mais permet également de se débarrasser des peluches dans l'obscurité - Le bouloche appareil électrique est particulièrement utile dans les endroits peu éclairés
✅ LAMES FINES & PUISSANCE D'ASPIRATION FORTE : Rasoir bouloche pull vetement jusqu'à 7500 tr/min & 6 lames ultra-fines pour un résultat optimal à tout moment, qu'il s'agisse de poudre de laine, de canapé ou de tapis I Le appareil pour enlever les bouloches particulièrement rapide fait gagner du temps grâce à sa grande tête de coupe de 6,5 cm de diamètre
✅ BATTERIE PUISSANTE & LONGUE DUREE : Le rasoir bouloche vetement vetement avec une batterie puissante de 4000mAh Li-Ion permet jusqu'à 3,5h d'autonomie et peut donc être utilisé sans problème pour rase bouloche l'un après l'autre ou de grandes surfaces à la fois I Câble de chargement USB-C inclus I Vainqueur absolu du test de rasoirs anti-peluches de l'équipe LEBENLANG
✅ ÉLIMINER LES POUSSIÈRES EN TOUTE SÉCURITÉ, SANS TROUBLER : Le appareil anti bouloche lint remover LEBENLANG Premium réduit le risque de trous dans les vêtements grâce à un entraînement amélioré et des lames plus tranchantes I Coupe bouloche vêtements for Clothes & Pilling Rasoir particulièrement facile à entretenir et à nettoyer grâce au kit de nettoyage Incl",001 INTERNATIONAL,https://m.media-amazon.com/images/I/817ZSiTOlXL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-31,LEBENLANG Appareil à croque-monsieur 3 en 1 - 750 W - Avec minuterie et inserts pour sandwich et gaufres - Appareil à croque-monsieur et gaufres - Gaufrier - Appareil à croque-monsieur et paninit,0740625483412,"À propos de cet article
Polyvalence multifonction 3 en 1 : la machine à sandwich LEBENLANG 3 en 1 combine trois appareils en un : insert sandwich pour des toasts farcis croustillants, insert gaufré pour gaufres de petit-déjeuner et insert de barbecue pour paninis – Il suffit d'insérer les ingrédients, de fermer le couvercle, de régler le temps et de profiter
Rapide et polyvalent : grâce à sa puissance de 750 W, la machine à croque-monsieur est chauffée en quelques minutes – Les sandwichs remplis sont en environ 4 à 6 minutes prêtes, gaufres et paninis en 6 à 8 minutes – Ainsi, les collations sont réussies rapidement et de manière fiable
Design compact et fermeture stable : avec des dimensions de 23,9 × 23 × 12,2 cm, un poids de 2,6 kg et un poids d'environ Câble de 90 cm de long, le grille-pain Sanwich Maker s'adapte parfaitement à toutes les cuisines - La fermeture solide du couvercle comprime les tranches de pain uniformément et assure des résultats croustillants et parfaitement dorés
Minuterie et sécurité automatique : contrairement à de nombreux autres simples sandwichs, notre appareil à croque-monsieur 3 en 1 offre une minuterie de 1 à 15 minutes avec arrêt automatique – vous avez ainsi un contrôle total, évitez les collations brûlées et utilisez l'appareil en toute sécurité même sans surveillance
Nettoyage facile et hygiénique : les inserts amovibles antiadhésifs peuvent être essuyés avec un chiffon humide après utilisation ou facilement nettoyés au lave-vaisselle – Ainsi, le gaufrier 3 en 1 reste hygiénique et prêt à l'emploi",001 INTERNATIONAL,https://m.media-amazon.com/images/I/81o7QaOW3HL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-32,LEBENLANG Steamer Défroisseur vapeur de voyage – Compact et pliable avec kit de voyage I Fer à vapeur pour défroisser la vapeur en vacances I Mini Garment Steamer à main Steam Fer à vapeur portable,0740625483429,"À propos de cet article
LEBENLANG Défroisseur vapeur de voyage rose",001 INTERNATIONAL,https://m.media-amazon.com/images/I/71vXRIQngSL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-33,"Cobus 27"" AntiSpy Filtres d'écran anti espion pour moniteur | Filtre de confidentialité ordinateur moniteur | Filtre de confidentialité autocollant | Film de protection visuelle pour moniteur",0740625483436,"À propos de cet article
PROTECTION ANTI-REGARD : Idéale pour les travaux avec des données sensibles dans des espaces publics - La sphère privée a pris une importance particulière depuis que le RGPD est entré en vigueur - Protection anti espion absolue dès 30° - avec une image absolument impeccable en face de l’ordinateur
FIXATION : Fixation de simplicité enfantine du film de protection visuelle, soit grâce au support autocollant sur le cadre de l’écran ou collé directement sur l’écran (se retire sans laisser de traces)
PROTECTION VISUELLE D’ÉCRAN : Protection supplémentaire en tant cache écran contre les rayures, la poussière, les empreintes digitales ou les éclaboussures, sert également de protection des yeux + possibilité de nettoyer le film à l’eau courante sans aucun problème
TAILLES DIFFÉRENTES : Disponible comme accessoire pour tous les modèles d’écran courants - compatible avec Dell, Lenovo,Samsung, I-Mac - choisissez simplement la taille en pouces | 20,1 | 21,5 | 22 | 23,6 | 24 | 27 | 29 | 16:9 | 16:10 | 21:9
SERVICE CLIENTÈLE & FACTURES : En cas de questions ou problèmes concernant le film de protection d’écran, vous pouvez contacter notre service client compétent et cordial 24h/24 - Les factures sont automatiquement établies avec la TVA applicable
› Voir plus de détails",001 INTERNATIONAL,https://m.media-amazon.com/images/I/51VCu2IeKBL._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-34,LEBENLANG Defroisseur Vapeur 1500W - 25g/min & Réservoir 300ml I Fer à Repasser de Voyage avec Gant I Défroisseur Vapeur Vertical Repassage Vapeur Vertical Steamer Portable,0740625483443,"À propos de cet article
👔 Steam Puissant: Chauffage rapide en moins de 40s avec Steam Genie Noir et steam iron de 1500W - Ce hand steamer clothes est parfait pour un débit de vapeur jusqu à 25g/min - idéal comme fer a repasser vapeur vertical et defroisseur main pour la maison et le bureau
👔 Longue Autonomie: Defroisseur a main avec un réservoir de 300ml pour un repassage efficace - Surpasse les steamer defroisseur vapeur professionnel et repasseur vapeur en autonomie, parfait pour défroisser vapeur en voyage
👔 Beaucoup d'accessoires: Comprend un gant et deux brosses pour ce fer a vapeur defroisseur, faisant de ce defroisseur voyage l'outil idéal pour toutes sortes de tissus - Un defroiseur pratique sans besoin de planche à repasser
👔 Défroisseur vapeur Écran LCD: Sélection facile des modes ECO et POWER pour ce stream one. Un defeoisseur avec un câble de 2,5m pour une expérience de repassage steam it comfortable
👔 Hygiénique: Rafraîchit vos vêtements de manière hygiénique en éliminant 99,9% des bactéries. Ce defroisseur main est parfait pour vos voyages, agissant comme un defroisseur voyage efficace",001 INTERNATIONAL,https://m.media-amazon.com/images/I/61pao-aCc+L._AC_SX679_.jpg
Pet products/Arachnid/Accessories,GHUIWERHG-35,"LEBENLANG thermos café 2,5 litre - 24h au chaud Incl. gobelet, passoire à thé & sangle de transport I Bouteille isotherme inox I Termos cafe Bouteilles isothermes Termo Termosse",0740625483450,"À propos de cet article
✅ ACCESSOIRES UTILES INCLUS : la thermos isotherme avec fond antidérapant comprend non seulement un couvercle pratique qui peut être utilisé comme tasse, mais aussi une bandoulière et une passoire à thé. Pratique au travail, en randonnée, en voyage ou en camping
✅ CONCEPTION ÉTANCHE ET NETTOYAGE FACILE : le bouchon à pression en acier inoxydable sûr et hygiénique avec joint en caoutchouc empêche la thermos cafe isotherme de fuir. Grâce à sa large ouverture de 7 cm, la bouteille thermos se nettoie intuitivement à la main
✅ CONSERVATION DE LA CHALEUR ET DU FROID DURABLE : La thermos café isotherme avec paroi intérieure isolante en acier inoxydable permet de conserver les boissons chaudes ou froides jusqu'à 24 heures | Thermos inox parfaite pour le thé, le café ou les rafraîchissements froids lors de vos déplacements
✅ MATÉRIAUX SÛRS ET GOÛT AUTHENTIQUE : la paroi intérieure en acier inoxydable sans BPA garantit un goût pur, sans résidus chimiques ni odeurs indésirables. La bouteille isotherme thermos est particulièrement hygiénique grâce à son couvercle verseur en acier inoxydable entièrement démontable
✅ CONCEPTION ROBUSTE ET STABLE : la bouteille thermos isotherme est relativement légère et portable avec une poignée rabattable et un poids de seulement 1350 g | Transport confortable grâce à une bandoulière de 130 cm I La bouteille thermos isotherme se glissent facilement dans les sacs à dos et les sacs normaux",001 INTERNATIONAL,https://m.media-amazon.com/images/I/81nWJoFuZUL._AC_SX679_.jpg
